VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
2,2026-01-01 00:54:04,2026-01-01 00:59:37,1.0,0.97,1.0,N,239,238,1,7.2,1.0,0.5,3.66,0.0,1.0,15.86,2.5,0.0,0.0
1,2026-01-01 00:34:04,2026-01-01 00:39:47,0.0,0.9,1.0,N,163,162,2,7.9,4.25,0.5,0.0,0.0,1.0,13.65,2.5,0.0,0.75
1,2026-01-01 00:57:06,2026-01-01 01:05:59,0.0,1.4,1.0,N,43,237,1,10.7,4.25,0.5,2.5,0.0,1.0,18.95,2.5,0.0,0.75
2,2026-01-01 00:15:22,2026-01-01 00:58:10,4.0,5.58,1.0,N,142,209,1,38.7,1.0,0.5,11.11,0.0,1.0,55.56,2.5,0.0,0.75
2,2026-01-01 00:27:13,2026-01-01 00:40:43,0.0,2.16,1.0,N,88,144,1,13.5,1.0,0.5,3.85,0.0,1.0,23.1,2.5,0.0,0.75
2,2026-01-01 00:47:11,2026-01-01 01:00:47,2.0,2.33,1.0,N,144,137,1,14.2,1.0,0.5,4.99,0.0,1.0,24.94,2.5,0.0,0.75
1,2026-01-01 00:17:54,2026-01-01 00:28:32,1.0,1.3,1.0,N,142,50,2,11.4,4.25,0.5,0.0,0.0,1.0,17.15,2.5,0.0,0.75
1,2026-01-01 00:34:28,2026-01-01 00:59:05,0.0,2.9,1.0,N,50,234,1,22.6,4.25,0.5,5.65,0.0,1.0,34.0,2.5,0.0,0.75
2,2026-01-01 00:34:14,2026-01-01 01:11:58,1.0,5.34,1.0,N,161,45,1,37.3,1.0,0.5,8.61,0.0,1.0,51.66,2.5,0.0,0.75
2,2026-01-01 00:41:07,2026-01-01 00:50:42,3.0,1.83,1.0,N,237,263,1,10.7,1.0,0.5,2.36,0.0,1.0,18.06,2.5,0.0,0.0
2,2026-01-01 00:12:46,2026-01-01 00:48:58,1.0,3.09,1.0,N,161,144,1,29.6,1.0,0.5,7.07,0.0,1.0,42.42,2.5,0.0,0.75
2,2026-01-01 00:50:40,2026-01-01 01:03:09,1.0,1.26,1.0,N,144,79,1,12.1,1.0,0.5,3.57,0.0,1.0,21.42,2.5,0.0,0.75
1,2026-01-01 00:21:33,2026-01-01 00:49:14,2.0,0.9,1.0,N,163,48,2,21.9,4.25,0.5,0.0,0.0,1.0,27.65,2.5,0.0,0.75
2,2026-01-01 00:42:31,2026-01-01 00:44:28,3.0,0.33,1.0,N,234,90,2,4.4,1.0,0.5,0.0,0.0,1.0,10.15,2.5,0.0,0.75
1,2026-01-01 00:40:35,2026-01-01 00:45:12,1.0,0.5,1.0,N,161,229,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-01-01 00:58:23,2026-01-01 01:20:19,1.0,1.3,1.0,N,162,170,2,17.0,4.25,0.5,0.0,0.0,1.0,22.75,2.5,0.0,0.75
7,2026-01-01 00:45:15,2026-01-01 00:45:15,1.0,1.54,1.0,N,142,68,1,28.9,0.0,0.5,6.93,0.0,1.0,41.58,2.5,0.0,0.75
1,2026-01-01 00:38:26,2026-01-01 01:04:42,1.0,4.7,1.0,N,90,87,1,28.9,4.25,0.5,6.9,0.0,1.0,41.55,2.5,0.0,0.75
1,2026-01-01 00:04:59,2026-01-01 00:46:56,1.0,10.2,1.0,N,90,41,1,47.1,4.25,0.5,10.55,0.0,1.0,63.4,2.5,0.0,0.75
